Date,ART,CPM,EPM,ExPM,HTTP,CPU,MEM
2023-07-07 16:30:00,130,4,1,3,2,22,20
2023-07-08 06:30:00,124,5,1,4,0,23,33
2023-07-08 13:30:00,161,7,2,1,18,24,55
2023-07-10 00:30:00,148,3,0,5,9,35,23
2023-07-10 07:30:00,373,0,1,8,1,36,67
2023-07-11 04:30:00,195,0,0,10,1,37,18
2023-07-11 11:30:00,199,1,0,6,1,44,21
2023-07-11 18:30:00,310,0,1,0,8,23,34
2023-07-14 02:30:00,161,13,2,62,1,45,21
2023-07-14 09:30:00,216,4,0,5,6,50,20
2023-07-14 16:30:00,172,3,2,12,5,81,45
2023-07-14 23:30:00,160,3,1,3,2,44,36
2023-07-18 04:30:00,174,3,2,4,0,22,18
2024-02-27 13:00:18.171964,13436,3,10,3,23370,89,90
